AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover,MAI,BasalArea000,DBHg000,SPH000,StemCount000,StemCount125,StemCount175
22003,350,1195.2,47.6,,,1584.8,69.3,3.415,74.5,49.7,387.8,387.8,387.8,386.2
22004,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22004,10,0.0,3.1,,,0.0,8.0,0.0,0.1,1.0,836.2,836.2,0.0,0.0
22004,20,2.3,9.3,,,19.6,67.7,0.113,5.3,9.2,788.6,788.6,61.4,0.0
22004,30,86.6,15.1,,,111.8,92.7,2.885,19.7,17.9,772.8,772.8,718.2,407.5
22004,40,208.3,20.0,,,241.8,94.9,5.207,32.7,23.2,768.1,768.1,752.0,660.1
22004,50,322.9,24.0,,,365.4,94.6,6.458,42.8,26.7,762.5,762.5,749.3,695.3
22004,60,449.1,27.4,,,500.5,94.1,7.485,52.3,29.7,751.6,751.6,742.3,693.1
22004,70,563.9,30.2,,,625.5,93.7,8.056,60.1,32.1,739.6,739.6,733.9,688.8
22004,80,661.4,32.7,,,733.6,93.2,8.268,66.0,34.0,722.9,722.9,720.0,681.7
22004,90,751.8,34.8,,,836.2,92.7,8.353,71.0,35.8,702.3,702.3,700.9,671.2
22004,100,828.2,36.7,,,925.7,92.2,8.282,75.0,37.4,680.0,680.0,679.6,657.5
22004,110,898.8,38.3,,,1010.8,91.7,8.171,78.3,38.8,658.5,658.5,658.1,641.3
22004,120,961.3,39.8,,,1087.8,91.2,8.011,81.1,40.1,638.8,638.8,638.4,626.0
22004,130,1015.5,41.1,,,1158.7,90.7,7.811,83.2,41.4,615.2,615.2,615.0,605.9
22004,140,1062.4,42.2,,,1222.0,90.3,7.588,84.9,42.7,592.8,592.8,592.7,586.5
22004,150,1102.5,43.3,,,1278.5,89.8,7.35,86.3,43.8,572.7,572.7,572.7,569.0
22004,160,1137.2,44.2,,,1331.0,89.3,7.108,87.3,44.9,551.3,551.3,551.3,548.6
22004,170,1169.2,45.1,,,1380.5,88.8,6.878,88.1,45.9,531.8,531.8,531.8,530.0
22004,180,1197.5,45.9,,,1426.0,88.3,6.653,88.8,46.9,514.2,514.2,514.2,513.2
22004,190,1222.3,46.6,,,1467.8,87.8,6.433,89.3,47.8,497.4,497.4,497.4,497.1
22004,200,1243.1,47.3,,,1508.0,87.3,6.215,89.5,48.7,479.0,479.0,479.0,478.6
22004,210,1261.1,47.9,,,1544.8,86.9,6.005,89.7,49.6,462.0,462.0,462.0,461.8
22004,220,1277.0,48.5,,,1578.8,86.4,5.805,89.7,50.5,446.3,446.3,446.3,446.0
22004,230,1291.0,49.0,,,1610.4,85.9,5.613,89.7,51.3,431.6,431.6,431.6,431.3
22004,240,1304.2,49.5,,,1640.6,85.4,5.434,89.7,52.2,418.2,418.2,418.2,418.0
22004,250,1315.6,50.0,,,1669.8,84.9,5.262,89.6,52.9,406.4,406.4,406.4,406.2
22004,260,1325.3,50.4,,,1697.3,84.4,5.097,89.5,53.5,395.6,395.6,395.6,395.5
22004,270,1333.7,50.8,,,1723.1,84.0,4.94,89.3,54.1,385.5,385.5,385.5,385.3
22004,280,1340.9,51.2,,,1747.3,83.5,4.789,89.1,54.8,375.9,375.9,375.9,375.7
22004,290,1346.9,51.5,,,1770.0,83.0,4.644,88.8,55.4,366.7,366.7,366.7,366.5
22004,300,1351.3,51.9,,,1791.0,82.5,4.504,88.5,56.0,357.8,357.8,357.8,357.6
22004,310,1354.9,52.2,,,1810.8,82.0,4.371,88.2,56.5,349.3,349.3,349.3,349.2
22004,320,1357.7,52.5,,,1829.6,81.5,4.243,87.8,57.1,341.3,341.3,341.3,341.1
22004,330,1359.7,52.8,,,1847.6,81.0,4.12,87.5,57.7,333.9,333.9,333.9,333.7
22004,340,1360.6,53.1,,,1865.1,80.6,4.002,87.0,58.1,327.4,327.4,327.4,327.2
22004,350,1361.0,53.3,,,1881.7,80.1,3.889,86.6,58.5,321.1,321.1,321.1,320.9
22005,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
